Date,Open,High,Low,Close,Shares_Traded,Turnover_Rs_Cr
06-07-2019,11865.2,11897.5,11769.5,11870.65,302455910,14939.4
06-10-2019,11934.9,11975.05,11871.75,11922.7,303329445,13125.41
06-11-2019,11959.85,12000.35,11904.35,11965.6,332181958,15392.28
06-12-2019,11962.45,11962.45,11866.35,11906.2,283718253,14120.17
6/13/2019,11873.9,11931.35,11817.05,11914.05,447901993,18680.91
6/14/2019,11910.1,11911.85,11797.7,11823.3,390294634,16226.57
6/17/2019,11844,11844.05,11657.75,11672.15,295528399,13851.67
6/18/2019,11677.05,11727.2,11641.15,11691.5,365525622,16120.69
6/19/2019,11744.45,11802.5,11625.1,11691.45,446933027,18722.71
6/20/2019,11653.65,11843.5,11635.05,11831.75,442016954,18839.11
6/21/2019,11827.6,11827.95,11705.1,11724.1,468430388,23346.13
6/24/2019,11725.8,11754,11670.2,11699.65,277620788,12631.38
6/25/2019,11681,11814.4,11651,11796.45,300476353,13822.83
6/26/2019,11768.15,11871.85,11757.55,11847.55,327885018,14650.89
6/27/2019,11860.85,11911.15,11821.05,11841.55,480169350,23300.3
6/28/2019,10690.55,10838.05,10678.55,10830.95,604818027,27471.18
07-01-2019,11839.9,11884.65,11830.8,11865.6,278415889,12874.96
07-02-2019,11890.3,11917.45,11814.7,11910.3,363197036,13615.94
07-03-2019,11932.15,11945.2,11887.05,11916.75,340527508,14290.33
07-04-2019,11928.8,11969.25,11923.65,11946.75,333595172,14758.87
07-05-2019,11964.75,11981.75,11797.9,11811.15,530720039,18871.99
07-08-2019,11770.4,11771.9,11523.3,11558.6,464029444,19146.25
07-09-2019,11531.6,11582.55,11461,11555.9,442520253,21577.95
07-10-2019,11536.15,11593.7,11475.65,11498.9,337571014,16098.53
07-11-2019,11561.45,11599,11519.5,11582.9,317257578,14586.2
07-12-2019,11601.15,11639.55,11538.6,11552.5,359421182,16947.57
7/15/2019,11614.75,11618.4,11532.3,11588.35,368788782,15835.99
7/16/2019,11596.65,11670.05,11573.95,11662.6,480156167,15967.91
7/17/2019,11670.75,11706.65,11651.15,11687.5,464827734,15250.5
7/18/2019,10690.55,10838.05,10678.55,10830.95,604818027,27471.18
7/19/2019,11627.95,11640.35,11399.3,11419.25,446049198,17326.4
7/22/2019,11392.85,11398.15,11301.25,11346.2,516044335,19304.23
